id,title,categories,abstract,doi,created,updated,authors
1908.07822,a multi-level neural network for implicit causality detection in web   texts,cs.cl cs.ai cs.lg,"mining causality from text is a complex and crucial natural language understanding task corresponding to the human cognition. existing studies at its solution can be grouped into two primary categories: feature engineering based and neural model based methods. in this paper, we find that the former has incomplete coverage and inherent errors but provide prior knowledge; while the latter leverages context information but causal inference of which is insufficiency. to handle the limitations, we propose a novel causality detection model named mcdn to explicitly model causal reasoning process, and furthermore, to exploit the advantages of both methods. specifically, we adopt multi-head self-attention to acquire semantic feature at word level and develop the scrn to infer causality at segment level. to the best of our knowledge, with regards to the causality tasks, this is the first time that the relation network is applied. the experimental results show that: 1) the proposed approach performs prominent performance on causality detection; 2) further analysis manifests the effectiveness and robustness of mcdn.",,2019-08-18,2021-11-03,"['shining liang', 'wanli zuo', 'zhenkun shi', 'sen wang', 'junhu wang', 'xianglin zuo']"
1909.12425,a re-classification of information seeking tasks and their computational   solutions,cs.ai cs.ir,"this article presents a re-classification of information seeking (is) tasks, concepts, and algorithms. the proposed taxonomy provides new dimensions to look into information seeking tasks and methods. the new dimensions include the number of search iterations, search goal types, and procedures to reach these goals. differences along these dimensions for the information seeking tasks call for suitable computational solutions. the article then reviews machine learning solutions that match each new category. the paper ends with a review of evaluation campaigns for is systems.",10.1145/3497875,2019-09-26,2021-11-09,"['zhiwen tang', 'grace hui yang']"
1910.05065,a theory of relation learning and cross-domain generalization,cs.ai cs.lg cs.ne,"people readily generalize knowledge to novel domains and stimuli. we present a theory, instantiated in a computational model, based on the idea that cross-domain generalization in humans is a case of analogical inference over structured (i.e., symbolic) relational representations. the model is an extension of the lisa and dora models of relational inference and learning. the resulting model learns both the content and format (i.e., structure) of relational representations from non-relational inputs without supervision, when augmented with the capacity for reinforcement learning, leverages these representations to learn individual domains, and then generalizes to new domains on the first exposure (i.e., zero-shot learning) via analogical inference. we demonstrate the capacity of the model to learn structured relational representations from a variety of simple visual stimuli, and to perform cross-domain generalization between video games (breakout and pong) and between several psychological tasks. we demonstrate that the model's trajectory closely mirrors the trajectory of children as they learn about relations, accounting for phenomena from the literature on the development of children's reasoning and analogy making. the model's ability to generalize between domains demonstrates the flexibility afforded by representing domains in terms of their underlying relational structure, rather than simply in terms of the statistical relations between their inputs and outputs.",,2019-10-11,2021-11-09,"['leonidas a. a. doumas', 'guillermo puebla', 'andrea e. martin', 'john e. hummel']"
1910.07294,reinforcement learning for robotic manipulation using simulated   locomotion demonstrations,cs.lg cs.ai cs.ro stat.ml,"mastering robotic manipulation skills through reinforcement learning (rl) typically requires the design of shaped reward functions. recent developments in this area have demonstrated that using sparse rewards, i.e. rewarding the agent only when the task has been successfully completed, can lead to better policies. however, state-action space exploration is more difficult in this case. recent rl approaches to learning with sparse rewards have leveraged high-quality human demonstrations for the task, but these can be costly, time consuming or even impossible to obtain. in this paper, we propose a novel and effective approach that does not require human demonstrations. we observe that every robotic manipulation task could be seen as involving a locomotion task from the perspective of the object being manipulated, i.e. the object could learn how to reach a target state on its own. in order to exploit this idea, we introduce a framework whereby an object locomotion policy is initially obtained using a realistic physics simulator. this policy is then used to generate auxiliary rewards, called simulated locomotion demonstration rewards (sldrs), which enable us to learn the robot manipulation policy. the proposed approach has been evaluated on 13 tasks of increasing complexity, and can achieve higher success rate and faster learning rates compared to alternative algorithms. sldrs are especially beneficial for tasks like multi-object stacking and non-rigid object manipulation.",10.1007/s10994-021-06116-1,2019-10-16,2021-11-11,"['ozsel kilinc', 'giovanni montana']"
1911.07605,commit2vec: learning distributed representations of code changes,cs.se cs.ai cs.lg,"deep learning methods, which have found successful applications in fields like image classification and natural language processing, have recently been applied to source code analysis too, due to the enormous amount of freely available source code (e.g., from open-source software repositories).   in this work, we elaborate upon a state-of-the-art approach to the representation of source code that uses information about its syntactic structure, and we adapt it to represent source changes (i.e., commits). we use this representation to classify security-relevant commits.   because our method uses transfer learning (that is, we train a network on a ""pretext task"" for which abundant labeled data is available, and then we use such network for the target task of commit classification, for which fewer labeled instances are available), we studied the impact of pre-training the network using two different pretext tasks versus a randomly initialized model.   our results indicate that representations that leverage the structural information obtained through code syntax outperform token-based representations. furthermore, the performance metrics obtained when pre-training on a loosely related pretext task with a very large dataset ($>10^6$ samples) were surpassed when pretraining on a smaller dataset ($>10^4$ samples) but for a pretext task that is more closely related to the target task.",10.1007/s42979-021-00566-z,2019-11-18,2021-11-17,"['rocìo cabrera lozoya', 'arnaud baumann', 'antonino sabetta', 'michele bezzi']"
1911.09315,rule extraction in unsupervised anomaly detection for model   explainability: application to oneclass svm,cs.lg cs.ai,"oneclass svm is a popular method for unsupervised anomaly detection. as many other methods, it suffers from the black box problem: it is difficult to justify, in an intuitive and simple manner, why the decision frontier is identifying data points as anomalous or non anomalous. such type of problem is being widely addressed for supervised models. however, it is still an uncharted area for unsupervised learning. in this paper, we evaluate several rule extraction techniques over oneclass svm models, as well as present alternative designs for some of those algorithms. together with that, we propose algorithms to compute metrics related with explainable artificial intelligence (xai) regarding the ""comprehensibility"", ""representativeness"", ""stability"" and ""diversity"" of the extracted rules. we evaluate our proposals with different datasets, including real-world data coming from industry. with this, our proposal contributes to extend xai techniques to unsupervised machine learning models.",10.1016/j.eswa.2021.116100,2019-11-21,2021-04-01,"['alberto barbado', 'óscar corcho', 'richard benjamins']"
1912.02368,inter-level cooperation in hierarchical reinforcement learning,cs.lg cs.ai stat.ml,"hierarchies of temporally decoupled policies present a promising approach for enabling structured exploration in complex long-term planning problems. to fully achieve this approach an end-to-end training paradigm is needed. however, training these multi-level policies has had limited success due to challenges arising from interactions between the goal-assigning and goal-achieving levels within a hierarchy. in this article, we consider the policy optimization process as a multi-agent process. this allows us to draw on connections between communication and cooperation in multi-agent rl, and demonstrate the benefits of increased cooperation between sub-policies on the training performance of the overall policy. we introduce a simple yet effective technique for inducing inter-level cooperation by modifying the objective function and subsequent gradients of higher-level policies. experimental results on a wide variety of simulated robotics and traffic control tasks demonstrate that inducing cooperation results in stronger performing policies and increased sample efficiency on a set of difficult long time horizon tasks. we also find that goal-conditioned policies trained using our method display better transfer to new tasks, highlighting the benefits of our method in learning task-agnostic lower-level behaviors. videos and code are available at: https://sites.google.com/berkeley.edu/cooperative-hrl.",,2019-12-04,2021-11-17,"['abdul rahman kreidieh', 'glen berseth', 'brandon trabucco', 'samyak parajuli', 'sergey levine', 'alexandre m. bayen']"
1912.02906,scalable reinforcement learning for multi-agent networked systems,math.oc cs.ai cs.lg,"we study reinforcement learning (rl) in a setting with a network of agents whose states and actions interact in a local manner where the objective is to find localized policies such that the (discounted) global reward is maximized. a fundamental challenge in this setting is that the state-action space size scales exponentially in the number of agents, rendering the problem intractable for large networks. in this paper, we propose a scalable actor critic (sac) framework that exploits the network structure and finds a localized policy that is an $o(\rho^{\kappa})$-approximation of a stationary point of the objective for some $\rho\in(0,1)$, with complexity that scales with the local state-action space size of the largest $\kappa$-hop neighborhood of the network. we illustrate our model and approach using examples from wireless communication, epidemics and traffic.",,2019-12-05,2021-10-31,"['guannan qu', 'adam wierman', 'na li']"
1912.10514,tag-less back-translation,cs.cl cs.ai cs.lg,"an effective method to generate a large number of parallel sentences for training improved neural machine translation (nmt) systems is the use of the back-translations of the target-side monolingual data. the standard back-translation method has been shown to be unable to efficiently utilize the available huge amount of existing monolingual data because of the inability of translation models to differentiate between the authentic and synthetic parallel data during training. tagging, or using gates, has been used to enable translation models to distinguish between synthetic and authentic data, improving standard back-translation and also enabling the use of iterative back-translation on language pairs that underperformed using standard back-translation. in this work, we approach back-translation as a domain adaptation problem, eliminating the need for explicit tagging. in the approach -- \emph{tag-less back-translation} -- the synthetic and authentic parallel data are treated as out-of-domain and in-domain data respectively and, through pre-training and fine-tuning, the translation model is shown to be able to learn more efficiently from them during training. experimental results have shown that the approach outperforms the standard and tagged back-translation approaches on low resource english-vietnamese and english-german neural machine translation.",10.1007/s10590-021-09284-y,2019-12-22,2021-02-09,"['idris abdulmumin', 'bashir shehu galadanci', 'aliyu garba']"
2003.03917,bittensor: a peer-to-peer intelligence market,cs.ai cs.lg cs.ma,"as with other commodities, markets could help us efficiently produce machine intelligence. we propose a market where intelligence is priced by other intelligence systems peer-to-peer across the internet. peers rank each other by training neural networks which learn the value of their neighbors. scores accumulate on a digital ledger where high ranking peers are monetarily rewarded with additional weight in the network. however, this form of peer-ranking is not resistant to collusion, which could disrupt the accuracy of the mechanism. the solution is a connectivity-based regularization which exponentially rewards trusted peers, making the system resistant to collusion of up to 50 percent of the network weight. the result is a collectively run intelligence market which continual produces newly trained models and pays contributors who create information theoretic value.",,2020-03-09,2021-11-09,"['yuma rao', 'jacob steeves', 'ala shaabana', 'daniel attevelt', 'matthew mcateer']"
2003.06507,the conflict between people's urge to punish ai and legal systems,cs.cy cs.ai,"regulating artificial intelligence (ai) has become necessary in light of its deployment in high-risk scenarios. this paper explores the proposal to extend legal personhood to ai and robots, which had not yet been examined through the lens of the general public. we present two studies (n = 3,559) to obtain people's views of electronic legal personhood vis-\`a-vis existing liability models. our study reveals people's desire to punish automated agents even though these entities are not recognized any mental state. furthermore, people did not believe automated agents' punishment would fulfill deterrence nor retribution and were unwilling to grant them legal punishment preconditions, namely physical independence and assets. collectively, these findings suggest a conflict between the desire to punish automated agents and its perceived impracticability. we conclude by discussing how future design and legal decisions may influence how the public reacts to automated agents' wrongdoings.",10.3389/frobt.2021.756242,2020-03-13,2021-11-10,"['gabriel lima', 'meeyoung cha', 'chihyung jeon', 'kyungsin park']"
2004.01274,does comma selection help to cope with local optima,cs.ne cs.ai cs.ds,"one hope when using non-elitism in evolutionary computation is that the ability to abandon the current-best solution aids leaving local optima. to improve our understanding of this mechanism, we perform a rigorous runtime analysis of a basic non-elitist evolutionary algorithm (ea), the $(\mu,\lambda)$ ea, on the most basic benchmark function with a local optimum, the jump function. we prove that for all reasonable values of the parameters and the problem, the expected runtime of the $(\mu,\lambda)$~ea is, apart from lower order terms, at least as large as the expected runtime of its elitist counterpart, the $(\mu+\lambda)$~ea (for which we conduct the first runtime analysis on jump functions to allow this comparison). consequently, the ability of the $(\mu,\lambda)$~ea to leave local optima to inferior solutions does not lead to a runtime advantage.   we complement this lower bound with an upper bound that, for broad ranges of the parameters, is identical to our lower bound apart from lower order terms. this is the first runtime result for a non-elitist algorithm on a multi-modal problem that is tight apart from lower order terms.",10.1145/3377930.3389823,2020-04-02,2021-11-10,['benjamin doerr']
2004.09705,explainable goal-driven agents and robots -- a comprehensive review,cs.ro cs.ai,"recent applications of autonomous agents and robots, such as self-driving cars, scenario-based trainers, exploration robots, and service robots have brought attention to crucial trust-related challenges associated with the current generation of artificial intelligence (ai) systems. ai systems based on the connectionist deep learning neural network approach lack capabilities of explaining their decisions and actions to others, despite their great successes. without symbolic interpretation capabilities, they are black boxes, which renders their decisions or actions opaque, making it difficult to trust them in safety-critical applications. the recent stance on the explainability of ai systems has witnessed several approaches on explainable artificial intelligence (xai); however, most of the studies have focused on data-driven xai systems applied in computational sciences. studies addressing the increasingly pervasive goal-driven agents and robots are still missing. this paper reviews approaches on explainable goal-driven intelligent agents and robots, focusing on techniques for explaining and communicating agents perceptual functions (example, senses, and vision) and cognitive reasoning (example, beliefs, desires, intention, plans, and goals) with humans in the loop. the review highlights key strategies that emphasize transparency, understandability, and continual learning for explainability. finally, the paper presents requirements for explainability and suggests a roadmap for the possible realization of effective goal-driven explainable agents and robots.",,2020-04-20,2021-11-05,"['fatai sado', 'chu kiong loo', 'wei shiung liew', 'matthias kerzel', 'stefan wermter']"
2005.13625,revisiting parameter sharing in multi-agent deep reinforcement learning,cs.lg cs.ai cs.ma stat.ml,"""nonstationarity"" is a fundamental problem in cooperative multi-agent reinforcement learning (marl). it results from every agent's policy changing during learning, while being part of the environment from the perspective of other agents. this causes information to inherently oscillate between agents during learning, greatly slowing convergence. we use the mailp model of information transfer during multi-agent learning to show that increasing centralization during learning arbitrarily mitigates the slowing of convergence due to nonstationarity. the most centralized case of learning is parameter sharing, an uncommonly used marl method, specific to environments with homogeneous agents. it bootstraps single-agent reinforcement learning (rl) methods and learns an identical policy for each agent. we experimentally replicate our theoretical result of increased learning centralization leading to better performance. we further apply parameter sharing to 8 more modern single-agent deep rl methods for the first time, achieving up to 44 times more average reward in 16% as many episodes compared to previous parameter sharing experiments. we finally give a formal proof of a set of methods that allow parameter sharing to serve in environments with heterogeneous agents.",,2020-05-27,2021-02-25,"['j. k. terry', 'nathaniel grammel', 'ananth hari', 'luis santos', 'benjamin black']"
2006.00587,towards understanding cooperative multi-agent q-learning with value   factorization,cs.lg cs.ai cs.ma stat.ml,"value factorization is a popular and promising approach to scaling up multi-agent reinforcement learning in cooperative settings, which balances the learning scalability and the representational capacity of value functions. however, the theoretical understanding of such methods is limited. in this paper, we formalize a multi-agent fitted q-iteration framework for analyzing factorized multi-agent q-learning. based on this framework, we investigate linear value factorization and reveal that multi-agent q-learning with this simple decomposition implicitly realizes a powerful counterfactual credit assignment, but may not converge in some settings. through further analysis, we find that on-policy training or richer joint value function classes can improve its local or global convergence properties, respectively. finally, to support our theoretical implications in practical realization, we conduct an empirical analysis of state-of-the-art deep multi-agent q-learning algorithms on didactic examples and a broad set of starcraft ii unit micromanagement tasks.",,2020-05-31,2021-10-31,"['jianhao wang', 'zhizhou ren', 'beining han', 'jianing ye', 'chongjie zhang']"
2006.03950,valnorm quantifies semantics to reveal consistent valence biases across   languages and over centuries,cs.cy cs.ai cs.cl cs.lg,"word embeddings learn implicit biases from linguistic regularities captured by word co-occurrence statistics. by extending methods that quantify human-like biases in word embeddings, we introducevalnorm, a novel intrinsic evaluation task and method to quantify the valence dimension of affect in human-rated word sets from social psychology. we apply valnorm on static word embeddings from seven languages (chinese, english, german, polish, portuguese, spanish, and turkish) and from historical english text spanning 200 years. valnorm achieves consistently high accuracy in quantifying the valence of non-discriminatory, non-social group word sets. specifically, valnorm achieves a pearson correlation of r=0.88 for human judgment scores of valence for 399 words collected to establish pleasantness norms in english. in contrast, we measure gender stereotypes using the same set of word embeddings and find that social biases vary across languages. our results indicate that valence associations of non-discriminatory, non-social group words represent widely-shared associations, in seven languages and over 200 years.",,2020-06-06,2021-11-07,"['autumn toney-wails', 'aylin caliskan']"
2006.06870,multi-agent informational learning processes,cs.ma cs.ai cs.lg,"we introduce a new mathematical model of multi-agent reinforcement learning, the multi-agent informational learning processor ""mailp"" model. the model is based on the notion that agents have policies for a certain amount of information, models how this information iteratively evolves and propagates through many agents. this model is very general, and the only meaningful assumption made is that learning for individual agents progressively slows over time.",,2020-06-11,2021-02-25,"['j. k. terry', 'nathaniel grammel']"
2006.07869,benchmarking multi-agent deep reinforcement learning algorithms in   cooperative tasks,cs.lg cs.ai cs.ma stat.ml,"multi-agent deep reinforcement learning (marl) suffers from a lack of commonly-used evaluation tasks and criteria, making comparisons between approaches difficult. in this work, we provide a systematic evaluation and comparison of three different classes of marl algorithms (independent learning, centralised multi-agent policy gradient, value decomposition) in a diverse range of cooperative multi-agent learning tasks. our experiments serve as a reference for the expected performance of algorithms across different learning tasks, and we provide insights regarding the effectiveness of different learning approaches. we open-source epymarl, which extends the pymarl codebase to include additional algorithms and allow for flexible configuration of algorithm implementation details such as parameter sharing. finally, we open-source two environments for multi-agent research which focus on coordination under sparse rewards.",,2020-06-14,2021-11-09,"['georgios papoudakis', 'filippos christianos', 'lukas schäfer', 'stefano v. albrecht']"
2006.08170,metacure: meta reinforcement learning with empowerment-driven   exploration,cs.ai cs.lg,"meta reinforcement learning (meta-rl) extracts knowledge from previous tasks and achieves fast adaptation to new tasks. despite recent progress, efficient exploration in meta-rl remains a key challenge in sparse-reward tasks, as it requires quickly finding informative task-relevant experiences in both meta-training and adaptation. to address this challenge, we explicitly model an exploration policy learning problem for meta-rl, which is separated from exploitation policy learning, and introduce a novel empowerment-driven exploration objective, which aims to maximize information gain for task identification. we derive a corresponding intrinsic reward and develop a new off-policy meta-rl framework, which efficiently learns separate context-aware exploration and exploitation policies by sharing the knowledge of task inference. experimental evaluation shows that our meta-rl method significantly outperforms state-of-the-art baselines on various sparse-reward mujoco locomotion tasks and more complex sparse-reward meta-world tasks.",,2020-06-15,2021-11-11,"['jin zhang', 'jianhao wang', 'hao hu', 'tong chen', 'yingfeng chen', 'changjie fan', 'chongjie zhang']"
2006.10424,an investigation of the weight space to monitor the training progress of   neural networks,cs.lg cs.ai stat.ml,"safe use of deep neural networks (dnns) requires careful testing. however, deployed models are often trained further to improve in performance. as rigorous testing and evaluation is expensive, triggers are in need to determine the degree of change of a model. in this paper we investigate the weight space of dnn models for structure that can be exploited to that end. our results show that dnn models evolve on unique, smooth trajectories in weight space which can be used to track dnn training progress. we hypothesize that curvature and smoothness of the trajectories as well as step length along it may contain information on the state of training as well as potential domain shifts. we show that the model trajectories can be separated and the order of checkpoints on the trajectories recovered, which may serve as a first step towards dnn model versioning.",,2020-06-18,2021-03-17,"['konstantin schürholt', 'damian borth']"
2006.10916,probabilistic fair clustering,cs.lg cs.ai cs.ds stat.ml,"in clustering problems, a central decision-maker is given a complete metric graph over vertices and must provide a clustering of vertices that minimizes some objective function. in fair clustering problems, vertices are endowed with a color (e.g., membership in a group), and the features of a valid clustering might also include the representation of colors in that clustering. prior work in fair clustering assumes complete knowledge of group membership. in this paper, we generalize prior work by assuming imperfect knowledge of group membership through probabilistic assignments. we present clustering algorithms in this more general setting with approximation ratio guarantees. we also address the problem of ""metric membership"", where different groups have a notion of order and distance. experiments are conducted using our proposed algorithms as well as baselines to validate our approach and also surface nuanced concerns when group membership is not known deterministically.",,2020-06-18,2021-11-04,"['seyed a. esmaeili', 'brian brubach', 'leonidas tsepenekas', 'john p. dickerson']"
2006.13365,bringing light into the dark: a large-scale evaluation of knowledge   graph embedding models under a unified framework,cs.lg cs.ai stat.ml,"the heterogeneity in recently published knowledge graph embedding models' implementations, training, and evaluation has made fair and thorough comparisons difficult. in order to assess the reproducibility of previously published results, we re-implemented and evaluated 21 interaction models in the pykeen software package. here, we outline which results could be reproduced with their reported hyper-parameters, which could only be reproduced with alternate hyper-parameters, and which could not be reproduced at all as well as provide insight as to why this might be the case.   we then performed a large-scale benchmarking on four datasets with several thousands of experiments and 24,804 gpu hours of computation time. we present insights gained as to best practices, best configurations for each model, and where improvements could be made over previously published best configurations. our results highlight that the combination of model architecture, training approach, loss function, and the explicit modeling of inverse relations is crucial for a model's performances, and not only determined by the model architecture. we provide evidence that several architectures can obtain results competitive to the state-of-the-art when configured carefully. we have made all code, experimental configurations, results, and analyses that lead to our interpretations available at https://github.com/pykeen/pykeen and https://github.com/pykeen/benchmarking",10.1109/tpami.2021.3124805,2020-06-23,2021-11-01,"['mehdi ali', 'max berrendorf', 'charles tapley hoyt', 'laurent vermue', 'mikhail galkin', 'sahand sharifzadeh', 'asja fischer', 'volker tresp', 'jens lehmann']"
